asked_price,final_price,pourcentage_difference,land_area,area,commune,price_per_area,rooms,supplemental_area
6475000.0,6950000,7.0,635.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",59402.0,5.0,44.0
9950000.0,11300000,14.0,882.0,195.0,"Mälarhöjden - Hägersten, Stockholms kommun",57949.0,5.0,22.0
5795000.0,6200000,7.0,1224.0,90.0,"Segeltorp, Huddinge kommun",68889.0,6.0,90.0
11950000.0,12700000,6.0,542.0,110.0,"Gamla Enskede, Stockholms kommun",115455.0,5.0,48.0
7950000.0,8100000,2.0,690.0,157.0,"Skärholmshöjden., Stockholms kommun",51592.0,6.0,0.0
14500000.0,16400000,13.0,529.0,136.0,"Enskede Gård, Stockholms kommun",120588.0,9.0,64.0
5300000.0,4910000,7.0,688.0,140.0,"Johannesdal - Vårberg, Stockholms kommun",35071.0,6.0,24.0
7195000.0,7195000,0.0,588.0,114.0,"Vällingby - Råcksta Trädgårdsstad, Stockholms kommun",63114.0,7.0,65.0
6395000.0,6070000,5.0,1530.0,98.0,"Trollbäcken/Hanviken, Tyresö kommun",61939.0,5.0,97.0
7875000.0,8500000,8.0,926.0,111.0,"Spånga Solhem, Stockholms kommun",76577.0,6.0,59.0
7500000.0,6500000,13.0,599.0,124.0,"Solberga, Stockholms kommun",52419.0,8.0,124.0
12895000.0,16550000,28.0,610.0,164.0,"Mälarhöjden, Stockholms kommun",100915.0,7.0,17.0
7950000.0,7700000,3.0,689.0,154.0,"Helenelund, Sollentuna kommun",50000.0,5.0,6.0
13950000.0,13750000,1.0,710.0,148.0,"Stocksund, Danderyds kommun",92905.0,6.0,25.0
9900000.0,8600000,13.0,1243.0,80.0,"Edsviken, Sollentuna kommun",107500.0,4.0,102.0
6995000.0,6995000,0.0,579.0,68.0,"Älvsjö, Stockholms kommun",102868.0,5.0,68.0
8300000.0,8250000,1.0,395.0,63.0,"Eneby, Stockholms kommun",130952.0,5.0,63.0
7900000.0,7900000,0.0,802.0,111.0,"Barkarby, Järfälla kommun",71171.0,7.0,111.0
8950000.0,9900000,11.0,849.0,169.0,"Hässelby Södra Villastad, Stockholms kommun",58580.0,7.0,20.0
7495000.0,7495000,0.0,980.0,157.0,"Nälsta, Stockholms kommun",47739.0,5.0,7.0
5500000.0,6165000,12.0,802.0,118.0,"Snättringe, Huddinge kommun",52246.0,5.0,0.0
13500000.0,14000000,4.0,546.0,102.0,"Bromma - Ålsten, Stockholms kommun",137255.0,6.0,98.0
4495000.0,5900000,31.0,420.0,135.0,"Hässelby södra villastad, Stockholms kommun",43704.0,5.0,3.0
8750000.0,9200000,5.0,475.0,95.0,"Bromma Nockebyhov, Stockholms kommun",96842.0,5.0,49.0
6900000.0,8015000,16.0,470.0,85.0,"Bromma - Norra Ängby, Stockholms kommun",94294.0,6.0,80.0
14900000.0,14825000,1.0,265.0,157.0,"Bromma Smedslätten, Stockholms kommun",94427.0,7.0,71.0
8650000.0,8650000,0.0,642.0,104.0,"Älvsjö, Stockholms kommun",83173.0,5.0,90.0
8495000.0,8500000,0.0,1075.0,163.0,"Älta - Hedvigslund, Nacka kommun",52147.0,6.0,0.0
9950000.0,10000000,1.0,662.0,124.0,"Bromma - Bromma Kyrka, Stockholms kommun",80645.0,7.0,121.0
11995000.0,11995000,0.0,878.0,219.0,"Spånga - Bromsten, Stockholms kommun",54772.0,8.0,82.0
6500000.0,6500000,0.0,837.0,103.0,"Barkarby, Järfälla kommun",63107.0,,30.0
8150000.0,8150000,0.0,423.0,122.0,"Norra Ängby, Stockholms kommun",66803.0,7.0,6.0
11950000.0,11300000,5.0,1134.0,210.0,"Helenelund, Sollentuna kommun",53810.0,9.0,60.0
7495000.0,7495000,0.0,1402.0,140.0,"Skälby, Järfälla kommun",53536.0,6.0,0.0
6495000.0,6800000,5.0,8122.0,134.0,"Häggvik, Sollentuna kommun",50746.0,4.0,38.0
6975000.0,7310000,5.0,665.0,124.0,"Hässelby - Södra Villastad, Stockholms kommun",58952.0,6.0,42.0
5000000.0,5000000,0.0,814.0,117.0,"Farsta, Stockholms kommun",42735.0,5.0,26.0
15500000.0,15700000,1.0,422.0,116.0,"Bromma - Ålsten, Stockholms kommun",135345.0,6.0,57.0
18500000.0,19500000,5.0,1133.0,246.0,"Stocksund, Danderyds kommun",79268.0,10.0,150.0
22900000.0,21200000,7.0,1193.0,189.0,"Herserud, Lidingö kommun",112169.0,7.0,35.0
9850000.0,9850000,0.0,833.0,164.0,"Enskede - Stureby, Stockholms kommun",60061.0,6.0,6.0
7995000.0,8800000,10.0,338.0,139.0,"Ursvik, Sundbybergs kommun",63309.0,5.0,10.0
6995000.0,6825000,2.0,987.0,143.0,"Hässelby Södra Villastad, Stockholms kommun",47727.0,6.0,8.0
8390000.0,9840000,17.0,604.0,87.0,"Svedmyra, Stockholms kommun",113103.0,4.0,49.0
7700000.0,8600000,12.0,765.0,65.0,"Älvsjö - Örby, Stockholms kommun",132308.0,4.0,65.0
8495000.0,8500000,0.0,1423.0,170.0,"Lindalen, Tyresö kommun",50000.0,5.0,0.0
8495000.0,9250000,9.0,1055.0,140.0,"Barkarby, Järfälla kommun",66071.0,7.0,151.0
9750000.0,10300000,6.0,768.0,153.0,"Långbro, Stockholms kommun",67320.0,6.0,28.0
8050000.0,8050000,0.0,1087.0,174.0,"Hanviken, Tyresö kommun",46264.0,6.0,0.0
7025000.0,6950000,1.0,786.0,118.0,"Hanviken, Tyresö kommun",58898.0,7.0,118.0
6475000.0,6950000,7.0,635.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",59402.0,5.0,44.0
9950000.0,11300000,14.0,882.0,195.0,"Mälarhöjden - Hägersten, Stockholms kommun",57949.0,5.0,22.0
5795000.0,6200000,7.0,1224.0,90.0,"Segeltorp, Huddinge kommun",68889.0,6.0,90.0
11950000.0,12700000,6.0,542.0,110.0,"Gamla Enskede, Stockholms kommun",115455.0,5.0,48.0
7950000.0,8100000,2.0,690.0,157.0,"Skärholmshöjden., Stockholms kommun",51592.0,6.0,0.0
14500000.0,16400000,13.0,529.0,136.0,"Enskede Gård, Stockholms kommun",120588.0,9.0,64.0
5300000.0,4910000,7.0,688.0,140.0,"Johannesdal - Vårberg, Stockholms kommun",35071.0,6.0,24.0
7195000.0,7195000,0.0,588.0,114.0,"Vällingby - Råcksta Trädgårdsstad, Stockholms kommun",63114.0,7.0,65.0
6395000.0,6070000,5.0,1530.0,98.0,"Trollbäcken/Hanviken, Tyresö kommun",61939.0,5.0,97.0
7875000.0,8500000,8.0,926.0,111.0,"Spånga Solhem, Stockholms kommun",76577.0,6.0,59.0
7500000.0,6500000,13.0,599.0,124.0,"Solberga, Stockholms kommun",52419.0,8.0,124.0
12895000.0,16550000,28.0,610.0,164.0,"Mälarhöjden, Stockholms kommun",100915.0,7.0,17.0
7950000.0,7700000,3.0,689.0,154.0,"Helenelund, Sollentuna kommun",50000.0,5.0,6.0
13950000.0,13750000,1.0,710.0,148.0,"Stocksund, Danderyds kommun",92905.0,6.0,25.0
9900000.0,8600000,13.0,1243.0,80.0,"Edsviken, Sollentuna kommun",107500.0,4.0,102.0
6995000.0,6995000,0.0,579.0,68.0,"Älvsjö, Stockholms kommun",102868.0,5.0,68.0
8300000.0,8250000,1.0,395.0,63.0,"Eneby, Stockholms kommun",130952.0,5.0,63.0
7900000.0,7900000,0.0,802.0,111.0,"Barkarby, Järfälla kommun",71171.0,7.0,111.0
8950000.0,9900000,11.0,849.0,169.0,"Hässelby Södra Villastad, Stockholms kommun",58580.0,7.0,20.0
7495000.0,7495000,0.0,980.0,157.0,"Nälsta, Stockholms kommun",47739.0,5.0,7.0
5500000.0,6165000,12.0,802.0,118.0,"Snättringe, Huddinge kommun",52246.0,5.0,0.0
13500000.0,14000000,4.0,546.0,102.0,"Bromma - Ålsten, Stockholms kommun",137255.0,6.0,98.0
4495000.0,5900000,31.0,420.0,135.0,"Hässelby södra villastad, Stockholms kommun",43704.0,5.0,3.0
8750000.0,9200000,5.0,475.0,95.0,"Bromma Nockebyhov, Stockholms kommun",96842.0,5.0,49.0
6900000.0,8015000,16.0,470.0,85.0,"Bromma - Norra Ängby, Stockholms kommun",94294.0,6.0,80.0
14900000.0,14825000,1.0,265.0,157.0,"Bromma Smedslätten, Stockholms kommun",94427.0,7.0,71.0
8650000.0,8650000,0.0,642.0,104.0,"Älvsjö, Stockholms kommun",83173.0,5.0,90.0
8495000.0,8500000,0.0,1075.0,163.0,"Älta - Hedvigslund, Nacka kommun",52147.0,6.0,0.0
9950000.0,10000000,1.0,662.0,124.0,"Bromma - Bromma Kyrka, Stockholms kommun",80645.0,7.0,121.0
11995000.0,11995000,0.0,878.0,219.0,"Spånga - Bromsten, Stockholms kommun",54772.0,8.0,82.0
6500000.0,6500000,0.0,837.0,103.0,"Barkarby, Järfälla kommun",63107.0,,30.0
8150000.0,8150000,0.0,423.0,122.0,"Norra Ängby, Stockholms kommun",66803.0,7.0,6.0
11950000.0,11300000,5.0,1134.0,210.0,"Helenelund, Sollentuna kommun",53810.0,9.0,60.0
7495000.0,7495000,0.0,1402.0,140.0,"Skälby, Järfälla kommun",53536.0,6.0,0.0
6495000.0,6800000,5.0,8122.0,134.0,"Häggvik, Sollentuna kommun",50746.0,4.0,38.0
6975000.0,7310000,5.0,665.0,124.0,"Hässelby - Södra Villastad, Stockholms kommun",58952.0,6.0,42.0
5000000.0,5000000,0.0,814.0,117.0,"Farsta, Stockholms kommun",42735.0,5.0,26.0
15500000.0,15700000,1.0,422.0,116.0,"Bromma - Ålsten, Stockholms kommun",135345.0,6.0,57.0
18500000.0,19500000,5.0,1133.0,246.0,"Stocksund, Danderyds kommun",79268.0,10.0,150.0
22900000.0,21200000,7.0,1193.0,189.0,"Herserud, Lidingö kommun",112169.0,7.0,35.0
9850000.0,9850000,0.0,833.0,164.0,"Enskede - Stureby, Stockholms kommun",60061.0,6.0,6.0
7995000.0,8800000,10.0,338.0,139.0,"Ursvik, Sundbybergs kommun",63309.0,5.0,10.0
6995000.0,6825000,2.0,987.0,143.0,"Hässelby Södra Villastad, Stockholms kommun",47727.0,6.0,8.0
8390000.0,9840000,17.0,604.0,87.0,"Svedmyra, Stockholms kommun",113103.0,4.0,49.0
7700000.0,8600000,12.0,765.0,65.0,"Älvsjö - Örby, Stockholms kommun",132308.0,4.0,65.0
8495000.0,8500000,0.0,1423.0,170.0,"Lindalen, Tyresö kommun",50000.0,5.0,0.0
8495000.0,9250000,9.0,1055.0,140.0,"Barkarby, Järfälla kommun",66071.0,7.0,151.0
9750000.0,10300000,6.0,768.0,153.0,"Långbro, Stockholms kommun",67320.0,6.0,28.0
8050000.0,8050000,0.0,1087.0,174.0,"Hanviken, Tyresö kommun",46264.0,6.0,0.0
7025000.0,6950000,1.0,786.0,118.0,"Hanviken, Tyresö kommun",58898.0,7.0,118.0
8400000.0,8400000,0.0,1720.0,141.0,"Trångsund, Huddinge kommun",59574.0,6.0,0.0
5950000.0,6250000,5.0,158.0,137.0,"Sköndal - Norra Sköndal, Stockholms kommun",45620.0,5.0,0.0
9395000.0,10900000,16.0,813.0,129.0,"Mälarhöjden, Stockholms kommun",84496.0,6.0,34.0
7450000.0,7225000,3.0,1161.0,131.0,"Hanviken/Trollbäcken, Tyresö kommun",55153.0,5.0,34.0
7150000.0,7275000,2.0,683.0,146.0,"Vinsta, Stockholms kommun",49829.0,6.0,0.0
7975000.0,7975000,0.0,565.0,93.0,"Spånga Solhem, Stockholms kommun",85753.0,5.0,91.0
6995000.0,10100000,44.0,665.0,136.0,"Sköndal - Kakstan, Stockholms kommun",74265.0,6.0,53.0
22000000.0,22500000,2.0,693.0,209.0,"Bromma - Ålsten, Stockholms kommun",107656.0,8.0,33.0
7795000.0,8100000,4.0,1130.0,144.0,"Stuvsta, Huddinge kommun",56250.0,6.0,84.0
8000000.0,7900000,1.0,436.0,79.0,"Eneby, Stockholms kommun",100000.0,5.0,79.0
6395000.0,6395000,0.0,298.0,119.0,"Skälby, Järfälla kommun",53739.0,5.0,8.0
6395000.0,7500000,17.0,662.0,120.0,"Fagersjö, Stockholms kommun",62500.0,4.0,32.0
7475000.0,8550000,14.0,814.0,183.0,"Vällingby Nälsta, Stockholms kommun",46721.0,6.0,29.0
8450000.0,9030000,7.0,1265.0,128.0,"Lindalen, Tyresö kommun",70547.0,7.0,119.0
9950000.0,10450000,5.0,499.0,118.0,"Tallkrogen, Stockholms kommun",88559.0,6.0,118.0
16900000.0,16900000,0.0,1175.0,187.0,"Mälarhöjden, Stockholms kommun",90374.0,7.0,76.0
8495000.0,9500000,12.0,307.0,136.0,"Sköndal, Stockholms kommun",69853.0,6.0,8.0
10950000.0,11300000,3.0,1266.0,166.0,"Töjnan, Sollentuna kommun",68072.0,8.0,14.0
7950000.0,8250000,4.0,798.0,105.0,"Älvsjö - Herrängen, Stockholms kommun",78571.0,6.0,129.0
8200000.0,8200000,0.0,,89.0,"Ulvsunda, Stockholms kommun",92135.0,4.0,10.0
4900000.0,4900000,0.0,93.0,85.0,"Rissne, Sundbybergs kommun",57647.0,3.0,0.0
10900000.0,12500000,15.0,700.0,142.0,"Älvsjö - Herrängen, Stockholms kommun",88028.0,8.0,99.0
17650000.0,17650000,0.0,875.0,193.0,"Mälarhöjden, Stockholms kommun",91451.0,8.0,121.0
24900000.0,22000000,12.0,820.0,266.0,"Bromma Nockeby, Stockholms kommun",82707.0,10.0,171.0
15500000.0,15000000,3.0,501.0,204.0,"Mälarhöjden, Stockholms kommun",73529.0,6.0,33.0
6795000.0,7250000,7.0,453.0,67.0,"Vällingby Parkstad / Råcksta, Stockholms kommun",108209.0,6.0,73.0
8275000.0,8000000,3.0,726.0,142.0,"Flysta, Stockholms kommun",56338.0,9.0,75.0
8975000.0,8800000,2.0,640.0,174.0,"Vällingby Nälsta, Stockholms kommun",50575.0,6.0,0.0
6250000.0,5700000,9.0,752.0,166.0,"Johannesdal, Stockholms kommun",34337.0,5.0,0.0
6700000.0,6800000,1.0,471.0,166.0,"Sätra, Stockholms kommun",40964.0,8.0,0.0
9995000.0,11750000,18.0,716.0,140.0,"Älvsjö, Stockholms kommun",83929.0,7.0,55.0
7825000.0,8835000,13.0,765.0,156.0,"Spånga - Solhem, Stockholms kommun",56635.0,7.0,0.0
9450000.0,9000000,5.0,1288.0,142.0,"Stuvsta Segersminne, Huddinge kommun",63380.0,6.0,44.0
9500000.0,9300000,2.0,1002.0,114.0,"Älvsjö/Herrängen, Stockholms kommun",81579.0,5.0,48.0
9950000.0,12000000,21.0,1049.0,172.0,"Lindalen, Tyresö kommun",69767.0,,0.0
6495000.0,6650000,2.0,286.0,195.0,"Sköndal, Stockholms kommun",34103.0,6.0,44.0
7250000.0,7725000,7.0,1132.0,69.0,"Älvsjö/Långbro, Stockholms kommun",111957.0,4.0,63.0
4495000.0,4700000,5.0,458.0,112.0,"Skärholmen, Stockholms kommun",41964.0,5.0,19.0
8650000.0,9400000,9.0,557.0,188.0,"Örby, Stockholms kommun",50000.0,8.0,95.0
11250000.0,12900000,15.0,353.0,104.0,"Gamla Enskede, Stockholms kommun",124038.0,4.0,45.0
6795000.0,6850000,1.0,7375.0,148.0,"Fållan, Huddinge kommun",46284.0,7.0,37.0
5995000.0,6200000,3.0,494.0,112.0,"Hanviken, Tyresö kommun",55357.0,6.0,0.0
9250000.0,10000000,8.0,642.0,72.0,"Svedmyra/Enskede, Stockholms kommun",138889.0,6.0,68.0
16750000.0,16750000,0.0,637.0,138.0,"Södra Ängby, Stockholms kommun",121377.0,7.0,70.0
8200000.0,8200000,0.0,151.0,115.0,"Beckomberga, Stockholms kommun",71304.0,5.0,0.0
9475000.0,9500000,0.0,839.0,151.0,"Spånga Flysta, Stockholms kommun",62914.0,10.0,95.0
8250000.0,9500000,15.0,1252.0,131.0,"Segeltorp, Huddinge kommun",72519.0,6.0,69.0
7495000.0,7595000,1.0,452.0,74.0,"Tallkrogen, Stockholms kommun",102635.0,5.0,53.0
8950000.0,9750000,9.0,1006.0,150.0,"Snättringe/Långsjön, Huddinge kommun",65000.0,5.0,20.0
6995000.0,7800000,12.0,670.0,120.0,"Hässelby Södra Villastad, Stockholms kommun",65000.0,6.0,130.0
6750000.0,8450000,25.0,669.0,141.0,"Spånga - Solhöjden, Stockholms kommun",59929.0,5.0,435.0
5995000.0,6075000,1.0,716.0,139.0,"Hässelby Södra Villastad, Stockholms kommun",43705.0,5.0,75.0
7500000.0,8100000,8.0,681.0,108.0,"Spånga - Solhem, Stockholms kommun",75000.0,8.0,60.0
5475000.0,5800000,6.0,611.0,129.0,"Hässelby - Norra Villastad, Stockholms kommun",44961.0,5.0,11.0
9495000.0,9940000,5.0,574.0,84.0,"Gamla Enskede, Stockholms kommun",118333.0,5.0,43.0
6495000.0,6650000,2.0,663.0,119.0,"Spånga Bromsten, Stockholms kommun",55882.0,5.0,0.0
9500000.0,9600000,1.0,1152.0,144.0,"Solhem, Stockholms kommun",66667.0,6.0,20.0
7395000.0,7900000,7.0,652.0,196.0,"Hässelby Södra Villastad, Stockholms kommun",40306.0,7.0,22.0
8975000.0,9750000,9.0,877.0,149.0,"Hässelby Södra Villastad, Stockholms kommun",65436.0,8.0,149.0
9495000.0,11750000,24.0,887.0,108.0,"Hägersten, Stockholms kommun",108796.0,4.0,77.0
5195000.0,6800000,31.0,1237.0,90.0,"Barkarby, Järfälla kommun",75556.0,5.0,90.0
9995000.0,10500000,5.0,555.0,66.0,"Hökmossen/Telefonplan, Stockholms kommun",159091.0,5.0,83.0
10750000.0,12975000,21.0,1295.0,276.0,"Älvsjö - Örby slott, Stockholms kommun",47011.0,8.0,70.0
4795000.0,5300000,11.0,601.0,103.0,"Hässelby Södra Villastad, Stockholms kommun",51456.0,4.0,0.0
5950000.0,6100000,3.0,364.0,135.0,"Hässelby Södra Villastad, Stockholms kommun",45185.0,7.0,67.0
